,_mask_rate,_mask_scale,_mask_strategy,_src_merge,cola,mnli,model,mrpc,qnli,qqp,rte,scaling,sst2,stsb
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,44.56,task_arithmetic_decompose,75.1,59.64,45.93,47.29,0.2,61.24000000000001,21.54
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,46.650000000000006,task_arithmetic_decompose,75.22999999999999,61.040000000000006,45.93,47.29,0.2,64.11,18.06
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,59.040000000000006,task_arithmetic_decompose,76.99000000000001,71.83,55.49,44.77,0.2,71.22,-12.91
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,61.44,task_arithmetic_decompose,77.29,74.92999999999999,63.31,49.1,0.2,75.0,5.6000000000000005
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,61.44,task_arithmetic_decompose,77.29,74.92999999999999,63.31,49.46,0.2,75.0,5.81
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,62.03999999999999,task_arithmetic_decompose,77.31,74.63,63.31,48.38,0.2,74.77000000000001,5.140000000000001
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,58.040000000000006,task_arithmetic_decompose,76.01,68.63,55.73,47.29,0.25,74.2,-7.12
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,58.040000000000006,task_arithmetic_decompose,76.01,68.63,55.73,47.29,0.25,74.31,-7.27
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,58.040000000000006,task_arithmetic_decompose,76.01,68.63,55.73,47.29,0.25,74.31,-7.27
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,58.440000000000005,task_arithmetic_decompose,76.01,68.83,55.97,47.29,0.25,74.2,-8.32
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,62.13999999999999,task_arithmetic_decompose,76.69,70.63000000000001,57.720000000000006,47.29,0.25,75.69,-15.939999999999998
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,67.03,task_arithmetic_decompose,78.11,77.72,63.83,46.57,0.25,80.73,-1.68
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,66.13,task_arithmetic_decompose,77.86999999999999,78.82000000000001,70.00999999999999,52.35,0.25,81.31,23.16
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,65.93,task_arithmetic_decompose,78.08,78.72,70.00999999999999,53.06999999999999,0.25,81.31,23.35
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,66.23,task_arithmetic_decompose,77.69,78.52,70.19999999999999,52.35,0.25,81.65,22.85
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,8.19,69.93,task_arithmetic_decompose,77.10000000000001,76.42,64.03999999999999,46.57,0.3,83.26,-15.02
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,8.19,69.93,task_arithmetic_decompose,77.10000000000001,76.42,64.03999999999999,46.57,0.3,83.26,-14.99
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,8.19,69.93,task_arithmetic_decompose,77.10000000000001,76.42,64.03999999999999,46.57,0.3,83.26,-14.99
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,8.19,69.63000000000001,task_arithmetic_decompose,77.10000000000001,76.52,64.03999999999999,46.57,0.3,83.14,-14.81
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,69.83,task_arithmetic_decompose,77.66,77.22,64.67,46.93,0.3,83.94,-14.06
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,69.53,task_arithmetic_decompose,78.22,79.72,69.63000000000001,45.49,0.3,83.83,6.94
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,66.03,task_arithmetic_decompose,78.62,78.42,73.72,53.790000000000006,0.3,83.72,29.38
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,66.03,task_arithmetic_decompose,78.81,78.32000000000001,73.72,53.790000000000006,0.3,83.6,29.49
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,66.13,task_arithmetic_decompose,78.62,78.72,73.95,53.43,0.3,84.06,29.18
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,10.65,75.02,task_arithmetic_decompose,77.68,79.52,70.47,46.57,0.35,87.61,-13.39
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,10.65,74.92999999999999,task_arithmetic_decompose,77.68,79.52,70.47,46.57,0.35,87.61,-13.36
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,10.65,74.92999999999999,task_arithmetic_decompose,77.68,79.52,70.47,46.57,0.35,87.61,-13.36
0,,,,,0.0,32.27,roberta-base,74.8,48.65,33.62,47.29,,50.92,-3.46
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,10.65,74.92999999999999,task_arithmetic_decompose,77.47,79.82000000000001,70.47,46.21,0.35,87.27000000000001,-13.18
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,8.55,75.72,task_arithmetic_decompose,77.01,80.32000000000001,70.09,46.21,0.35,87.27000000000001,-12.65
